date,value,cash,positions
2025-11-04 00:00:00-05:00,101441.44447366337,66078.00660745244,2
2025-11-05 00:00:00-05:00,101927.73500100712,66078.00660745244,2
2025-11-06 00:00:00-05:00,100299.2080957642,84692.35796759037,1
2025-11-07 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-10 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-11 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-12 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-13 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-14 00:00:00-05:00,99710.52438345342,99710.52438345342,0
2025-11-17 00:00:00-05:00,99690.58602590948,79752.22848196416,1
2025-11-18 00:00:00-05:00,99638.82088919073,79752.22848196416,1
2025-11-19 00:00:00-05:00,100235.52987356573,79752.22848196416,1
2025-11-20 00:00:00-05:00,100000.4847075501,79752.22848196416,1
2025-11-21 00:00:00-05:00,100714.71627493291,79752.22848196416,1
2025-11-24 00:00:00-05:00,102038.24990530401,79752.22848196416,1
2025-11-25 00:00:00-05:00,102378.2288481751,79752.22848196416,1
2025-11-26 00:00:00-05:00,102134.08974905401,79752.22848196416,1
2025-11-28 00:00:00-05:00,102150.17770071416,79752.22848196416,1
2025-12-01 00:00:00-05:00,101780.12063284307,79752.22848196416,1
2025-12-02 00:00:00-05:00,101844.47671194463,79752.22848196416,1
2025-12-03 00:00:00-05:00,102111.70418997198,79752.22848196416,1
2025-12-04 00:00:00-05:00,101948.87649740606,101948.87649740606,0
2025-12-05 00:00:00-05:00,101948.87649740606,101948.87649740606,0
2025-12-08 00:00:00-05:00,101928.66578048712,81717.94886154181,1
2025-12-09 00:00:00-05:00,102044.69696945196,81717.94886154181,1
2025-12-10 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-11 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-12 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-15 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-16 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-17 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-18 00:00:00-05:00,102271.7644861756,102271.7644861756,0
2025-12-19 00:00:00-05:00,102251.55408566291,82041.1535729676,1
2025-12-22 00:00:00-05:00,102567.81403439338,82041.1535729676,1
2025-12-23 00:00:00-05:00,102434.67347042853,82041.1535729676,1
2025-12-24 00:00:00-05:00,102427.95331661994,82041.1535729676,1
2025-12-26 00:00:00-05:00,101999.13367550666,82041.1535729676,1
2025-12-29 00:00:00-05:00,101326.72930758673,101326.72930758673,0
2025-12-30 00:00:00-05:00,101326.72930758673,101326.72930758673,0
2025-12-31 00:00:00-05:00,101326.72930758673,101326.72930758673,0
2026-01-02 00:00:00-05:00,101326.72930758673,101326.72930758673,0
2026-01-05 00:00:00-05:00,101306.6861477967,81263.52635775764,1
2026-01-06 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-07 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-08 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-09 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-12 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-13 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-14 00:00:00-05:00,101962.78574850471,101962.78574850471,0
2026-01-15 00:00:00-05:00,101942.50086866767,81657.62103163154,1
2026-01-16 00:00:00-05:00,102290.49119459541,81657.62103163154,1
2026-01-20 00:00:00-05:00,102298.50086866767,81657.62103163154,1
2026-01-21 00:00:00-05:00,103889.82130323799,81657.62103163154,1
2026-01-22 00:00:00-05:00,104239.59065138252,81657.62103163154,1
2026-01-23 00:00:00-05:00,104769.14037977607,81657.62103163154,1
2026-01-26 00:00:00-05:00,104024.21081434638,81657.62103163154,1
2026-01-27 00:00:00-05:00,104088.29092298896,81657.62103163154,1
2026-01-28 00:00:00-05:00,104128.98766003425,104128.98766003425,0
2026-01-29 00:00:00-05:00,104108.35441003426,83475.10441003426,1
2026-01-30 00:00:00-05:00,104076.62491003425,66979.12491003425,2
2026-02-02 00:00:00-05:00,104191.64444128425,66979.12491003425,2
2026-02-03 00:00:00-05:00,103610.53466955574,66979.12491003425,2
2026-02-04 00:00:00-05:00,102668.07609436043,53706.753493042066,3
2026-02-05 00:00:00-05:00,102538.9270648194,73892.79724304206,2
2026-02-06 00:00:00-05:00,102443.65704528816,73892.79724304206,2
2026-02-09 00:00:00-05:00,102637.43457507332,87061.37524890144,1
2026-02-10 00:00:00-05:00,102487.93457507332,87061.37524890144,1
2026-02-11 00:00:00-05:00,102441.24530505379,87061.37524890144,1
