,date,value,price,cummax,drawdown,daily_return
58,2025-12-04 00:00:00-05:00,106069.32446289062,454.5299987792969,106069.32446289062,0.0,0.017410052328135084
59,2025-12-05 00:00:00-05:00,106178.83474731445,455.0,106178.83474731445,0.0,0.0010324406700841227
60,2025-12-08 00:00:00-05:00,102585.97161865234,439.5799865722656,106178.83474731445,-0.033837846659482036,-0.033837846659482085
61,2025-12-09 00:00:00-05:00,103888.44787597656,445.1700134277344,106178.83474731445,-0.021571030392154692,0.012696436333088368
62,2025-12-10 00:00:00-05:00,105351.68759155273,451.45001220703125,106178.83474731445,-0.0077901321645709575,0.014084720154092567
63,2025-12-11 00:00:00-05:00,104289.20816040039,446.8900146484375,106178.83474731445,-0.017796640841002034,-0.010085072725854793
64,2025-12-12 00:00:00-05:00,107101.51275634766,458.9599914550781,107101.51275634766,0.0,0.026966400891853093
65,2025-12-15 00:00:00-05:00,110911.0641784668,475.30999755859375,110911.0641784668,0.0,0.035569538880237284
66,2025-12-16 00:00:00-05:00,114305.87588500977,489.8800048828125,114305.87588500977,0.0,0.030608413431868042
67,2025-12-17 00:00:00-05:00,109035.41702270508,467.260009765625,114305.87588500977,-0.04610838088154542,-0.04610838088154545
68,2025-12-18 00:00:00-05:00,112789.04360961914,483.3699951171875,114305.87588500977,-0.01326994140630652,0.03442575531336223
69,2025-12-19 00:00:00-05:00,112283.43759155273,481.20001220703125,114305.87588500977,-0.01769321373724985,-0.004482758270531906
70,2025-12-22 00:00:00-05:00,114037.9273071289,488.7300109863281,114305.87588500977,-0.0023441365179722885,0.01562554329658461
71,2025-12-23 00:00:00-05:00,113299.3141784668,485.55999755859375,114305.87588500977,-0.008805861455062527,-0.00647690769293674
72,2025-12-24 00:00:00-05:00,113262.03332519531,485.3999938964844,114305.87588500977,-0.009132011383776503,-0.00032904747519268973
73,2025-12-26 00:00:00-05:00,110883.10531616211,475.19000244140625,114305.87588500977,-0.029943959943852048,-0.021003755090665543
74,2025-12-29 00:00:00-05:00,107259.95816040039,459.6400146484375,114305.87588500977,-0.061640905771961164,-0.03267537597753056
75,2025-12-30 00:00:00-05:00,106046.02304077148,454.42999267578125,114305.87588500977,-0.07226096454173175,-0.01131769152672557
76,2025-12-31 00:00:00-05:00,104948.59503173828,449.7200012207031,114305.87588500977,-0.08186176590505975,-0.010348601272970659
77,2026-01-02 00:00:00-05:00,102070.31170654297,438.07000732421875,114305.87588500977,-0.10704230280143792,-0.02742564895056354
78,2026-01-05 00:00:00-05:00,102070.31170654297,451.6700134277344,114305.87588500977,-0.10704230280143792,0.0
79,2026-01-06 00:00:00-05:00,102070.31170654297,432.9599914550781,114305.87588500977,-0.10704230280143792,0.0
80,2026-01-07 00:00:00-05:00,102070.31170654297,431.4100036621094,114305.87588500977,-0.10704230280143792,0.0
81,2026-01-08 00:00:00-05:00,102070.31170654297,435.79998779296875,114305.87588500977,-0.10704230280143792,0.0
82,2026-01-09 00:00:00-05:00,102070.31170654297,445.010009765625,114305.87588500977,-0.10704230280143792,0.0
83,2026-01-12 00:00:00-05:00,102070.31170654297,448.9599914550781,114305.87588500977,-0.10704230280143792,0.0
84,2026-01-13 00:00:00-05:00,102070.31170654297,447.20001220703125,114305.87588500977,-0.10704230280143792,0.0
85,2026-01-14 00:00:00-05:00,102070.31170654297,439.20001220703125,114305.87588500977,-0.10704230280143792,0.0
86,2026-01-15 00:00:00-05:00,102070.31170654297,438.57000732421875,114305.87588500977,-0.10704230280143792,0.0
87,2026-01-16 00:00:00-05:00,102070.31170654297,437.5,114305.87588500977,-0.10704230280143792,0.0
88,2026-01-20 00:00:00-05:00,102070.31170654297,419.25,114305.87588500977,-0.10704230280143792,0.0
89,2026-01-21 00:00:00-05:00,102070.31170654297,431.44000244140625,114305.87588500977,-0.10704230280143792,0.0
90,2026-01-22 00:00:00-05:00,102070.31170654297,449.3599853515625,114305.87588500977,-0.10704230280143792,0.0
91,2026-01-23 00:00:00-05:00,102070.31170654297,449.05999755859375,114305.87588500977,-0.10704230280143792,0.0
92,2026-01-26 00:00:00-05:00,102070.31170654297,435.20001220703125,114305.87588500977,-0.10704230280143792,0.0
93,2026-01-27 00:00:00-05:00,102070.31170654297,430.8999938964844,114305.87588500977,-0.10704230280143792,0.0
94,2026-01-28 00:00:00-05:00,102070.31170654297,431.4599914550781,114305.87588500977,-0.10704230280143792,0.0
95,2026-01-29 00:00:00-05:00,102070.31170654297,416.55999755859375,114305.87588500977,-0.10704230280143792,0.0
96,2026-01-30 00:00:00-05:00,102070.31170654297,430.4100036621094,114305.87588500977,-0.10704230280143792,0.0
97,2026-02-02 00:00:00-05:00,102070.31170654297,421.80999755859375,114305.87588500977,-0.10704230280143792,0.0
98,2026-02-03 00:00:00-05:00,102070.31170654297,421.9599914550781,114305.87588500977,-0.10704230280143792,0.0
99,2026-02-04 00:00:00-05:00,102070.31170654297,406.010009765625,114305.87588500977,-0.10704230280143792,0.0
100,2026-02-05 00:00:00-05:00,102070.31170654297,397.2099914550781,114305.87588500977,-0.10704230280143792,0.0
101,2026-02-06 00:00:00-05:00,102070.31170654297,411.1099853515625,114305.87588500977,-0.10704230280143792,0.0
102,2026-02-09 00:00:00-05:00,102070.31170654297,417.32000732421875,114305.87588500977,-0.10704230280143792,0.0
103,2026-02-10 00:00:00-05:00,102070.31170654297,425.2099914550781,114305.87588500977,-0.10704230280143792,0.0
104,2026-02-11 00:00:00-05:00,102070.31170654297,428.2699890136719,114305.87588500977,-0.10704230280143792,0.0
105,2026-02-12 00:00:00-05:00,102070.31170654297,417.07000732421875,114305.87588500977,-0.10704230280143792,0.0
106,2026-02-13 00:00:00-05:00,102070.31170654297,417.44000244140625,114305.87588500977,-0.10704230280143792,0.0
107,2026-02-17 00:00:00-05:00,102070.31170654297,410.6300048828125,114305.87588500977,-0.10704230280143792,0.0
108,2026-02-18 00:00:00-05:00,102070.31170654297,411.32000732421875,114305.87588500977,-0.10704230280143792,0.0
109,2026-02-19 00:00:00-05:00,102070.31170654297,411.7099914550781,114305.87588500977,-0.10704230280143792,0.0
110,2026-02-20 00:00:00-05:00,102070.31170654297,411.82000732421875,114305.87588500977,-0.10704230280143792,0.0
111,2026-02-23 00:00:00-05:00,102070.31170654297,399.8299865722656,114305.87588500977,-0.10704230280143792,0.0
112,2026-02-24 00:00:00-05:00,102070.31170654297,409.3800048828125,114305.87588500977,-0.10704230280143792,0.0
113,2026-02-25 00:00:00-05:00,102070.31170654297,417.3999938964844,114305.87588500977,-0.10704230280143792,0.0
114,2026-02-26 00:00:00-05:00,102070.31170654297,408.5799865722656,114305.87588500977,-0.10704230280143792,0.0
115,2026-02-27 00:00:00-05:00,102070.31170654297,402.510009765625,114305.87588500977,-0.10704230280143792,0.0
116,2026-03-02 00:00:00-05:00,102070.31170654297,403.32000732421875,114305.87588500977,-0.10704230280143792,0.0
117,2026-03-03 00:00:00-05:00,102070.31170654297,392.42999267578125,114305.87588500977,-0.10704230280143792,0.0
118,2026-03-04 00:00:00-05:00,102070.31170654297,405.94000244140625,114305.87588500977,-0.10704230280143792,0.0
119,2026-03-05 00:00:00-05:00,102070.31170654297,405.54998779296875,114305.87588500977,-0.10704230280143792,0.0
120,2026-03-06 00:00:00-05:00,102070.31170654297,396.7300109863281,114305.87588500977,-0.10704230280143792,0.0
121,2026-03-09 00:00:00-04:00,102070.31170654297,398.67999267578125,114305.87588500977,-0.10704230280143792,0.0
122,2026-03-10 00:00:00-04:00,102070.31170654297,399.2349853515625,114305.87588500977,-0.10704230280143792,0.0
